mjd,aperture_sum_0,aperture_sum_1,aperture_sum_err_0,aperture_sum_err_1,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.6227256954,856857.18078125,917089.97359375,626.1447342800237,630.5437800548241,729.9705762531928,7.391464180805149,1.0,836.05859375,30.289323806762695,910.410670298578,245.5311289131196
57799.6234664321,842762.3564062499,906392.2747656249,586.4924397377231,591.7084979477471,710.7643611119377,8.05387390946062,1.0,852.01953125,33.956504821777344,909.6064892090156,244.65537307083326
57799.624218747,827133.6539062499,893303.027421875,562.6016789880157,568.513722481561,729.3849111600089,8.288369306405283,1.0,850.0625,32.97130584716797,911.622776788172,244.89371426150637
57799.6249594912,849290.211640625,910820.9496093751,614.5647387940063,619.2412017675275,730.9599709304708,7.361695605545953,1.0,856.19140625,33.04360580444336,910.3911270410114,245.08636981130272
57799.6257002354,873512.3651562501,929534.3438281249,708.8061161275749,712.1639657950554,712.6220810563307,6.216005253300399,1.0,830.310546875,32.134700775146484,910.195426156886,244.9079702451503
57799.6264293939,855249.672109375,913668.06265625,642.1509272285248,646.1865825606052,709.8387614487564,6.96183253489642,1.0,839.26171875,32.62017822265625,910.7734001328629,244.9172907246552
57799.6271585673,871787.074609375,926842.52125,702.2268932050418,705.5049650933237,696.1990082340666,6.342659167717206,1.0,806.474609375,31.43809700012207,910.3989502612731,245.11198171287063
57799.627899304,861802.9253125,917717.030234375,670.6075514164862,674.1462817739068,697.0457393881617,6.61802988454928,1.0,804.884765625,32.75479507446289,910.6351037314824,244.9943563482281
57799.6286400408,861709.4519531251,918230.5989062501,656.4282835913747,660.123763804276,694.13081536495,6.919463807433195,1.0,783.34375,30.11012840270996,911.1946027933521,244.99931896040195
57799.6293692142,862423.310078125,920440.558125,651.9926429379092,655.9136206946805,707.6649583188263,6.931892042544489,1.0,813.7578125,32.07788848876953,910.8782793010774,244.94887148116302
57799.6301215291,852662.11109375,913911.952578125,618.1965553886242,622.7956801458838,720.9739913546247,7.364388263806103,1.0,815.998046875,31.41728973388672,910.9935721736266,245.28572231075864
57799.6308622658,867619.2989062499,924436.917421875,673.5108238721144,677.1550364368079,697.2509396783198,6.693141018188585,1.0,800.6484375,30.293304443359375,910.5526601261577,245.19077470349197
57799.6316145808,874753.4499218749,928233.603125,711.866555946219,714.9111205778853,673.842103813705,6.45268826107755,1.0,791.91015625,31.513227462768555,910.2936556805286,245.1054891231679
57799.6323437542,874269.2731250001,926191.821796875,732.9596287882925,735.7394672418893,668.5705788100219,6.077089085070359,1.0,773.123046875,29.868478775024414,910.6212215157677,245.1517243860566
57799.6330960691,864888.9735937499,918633.28234375,681.0285524804893,684.2447093460544,660.481055386394,6.700997209039818,1.0,769.443359375,30.98345184326172,911.0484902003288,244.85024159088863
57799.6338252276,839548.408203125,899157.84609375,605.2778673875889,609.7414466178536,677.2654992938288,7.5066367868393655,1.0,773.78125,32.18071365356445,910.9684110537505,245.2852393421098
57799.6345659792,867271.805546875,920576.383828125,679.2961921052804,682.4719744676977,640.3978533655968,6.838938755231416,1.0,745.373046875,31.038738250732422,909.6340151295663,244.75039876685832
57799.6353182942,870921.1328906249,922121.496015625,704.9335835102797,707.7541577349706,648.6778660901188,6.5352706305586254,1.0,760.78125,31.054553985595703,911.2523433218524,245.1337323707491
57799.6360590309,863225.745078125,916388.924921875,668.9192201155596,672.1292715257639,649.015721848376,6.917115502950824,1.0,736.166015625,31.172353744506836,910.501935479349,245.49326717634838
57799.6367997676,873290.76734375,923984.0335937501,718.1580724449334,720.879412589316,639.0208617268227,6.307662039259115,1.0,731.490234375,28.32748794555664,910.8337213388205,244.8739030946104
57799.637528941,875490.100234375,926754.58859375,711.781319796218,714.5719025300011,638.7459878412334,6.513899000357391,1.0,740.810546875,29.370031356811523,911.7717074675137,245.4520167763064
57799.638281256,878533.5113281249,928005.065625,768.1093183940777,770.5285956327479,643.8466776801732,5.819198725783451,1.0,730.44140625,28.507823944091797,910.9086203748793,245.15726789966124
57799.6390219927,880748.834453125,930005.146953125,754.3189208122445,756.7595013288981,641.0191380830296,5.974344819618128,1.0,759.189453125,30.67096710205078,911.1584594714037,245.12928304017936
57799.6397743076,879016.3182031249,928280.4715625001,732.3345027806711,734.8518776161493,630.0180019767627,6.4236310545865845,1.0,730.03125,29.591373443603516,911.1710517341105,244.95411945406948
57799.6405150443,884153.350390625,932179.4058593749,770.8883996624879,773.1710074036698,633.496097649979,6.009785338230556,1.0,712.26171875,28.79484748840332,910.7697134315212,245.5906355460632
57799.6412557811,880025.2103906248,930080.988515625,720.0395327342129,722.6816027727606,639.494425382872,6.467923584774345,1.0,745.1015625,29.404184341430664,910.5813558778949,245.43728008567524
57799.642008096,882695.44796875,931434.542421875,750.3218779514108,752.7288836893669,635.0272746444738,6.153376221977251,1.0,737.458984375,29.203413009643555,910.923091990262,245.46528233803278
57799.6427372694,881919.7278125,929741.947421875,774.9913666577277,777.2310153946195,623.1313174397698,5.853242774809913,1.0,710.509765625,29.307058334350586,911.2972203642854,245.18103475559298
57799.6434780061,883928.945625,930887.055703125,783.524275759142,785.6686054641611,615.002122576587,5.847971969707883,1.0,710.294921875,29.163387298583984,910.822729556311,245.07595430896575
57799.6442071795,879772.7112499999,927639.1612500001,755.952805796347,758.2563696930104,629.5394588871055,6.121396408913255,1.0,729.470703125,28.21238136291504,910.8888133169338,245.71770079938113
57799.6449479163,875370.2249218749,923541.6914843749,742.868553382956,745.2455335078973,623.8683751819823,6.090725195863725,1.0,723.330078125,29.64239501953125,910.6013734247961,245.26166763159975
57799.645688653,879508.68578125,926802.301484375,775.0374266042442,777.2345944984058,623.2588845175138,5.788386747656914,1.0,726.37890625,28.005210876464844,911.0022833918026,245.50921849539768
57799.6464409679,881223.709453125,928663.09109375,769.7867063645574,772.017494457248,614.2258395900843,6.034504168596634,1.0,707.517578125,29.39236068725586,911.561373611913,244.79103216836566
57799.6471817195,884515.218515625,931700.185,795.9761554997779,798.0924815797057,621.6934911020858,5.701288467583541,1.0,711.220703125,27.321001052856445,911.0500980515955,246.03127130422334
57799.6479340345,883438.1757031251,930236.5200781251,799.7085675676338,801.7905361888269,619.9915421188391,5.5658878179391715,1.0,721.298828125,29.451683044433594,910.607247041781,245.2930165136343
57799.6486747712,884554.4603125,930905.773828125,799.8760871161828,801.9174456863983,614.5143133135064,5.444695633550494,1.0,743.55859375,29.171871185302734,911.5677870803789,245.55038324857918
57799.6494155079,884072.122109375,930906.856796875,784.5394007897893,786.665717104204,611.1641187503917,5.562158215431115,1.0,713.9140625,29.360885620117188,911.3335243396992,245.0825891032237
57799.6501678228,887671.432421875,933752.7522656249,788.2986383622094,790.3502865431522,613.8728658063435,6.012028529837817,1.0,687.791015625,30.48076820373535,910.7126815066206,245.4868327001373
57799.6509085596,890197.90546875,935666.8696875,832.9484117915619,834.8336659050074,605.414618076234,5.266142087100624,1.0,698.73828125,28.299957275390625,911.2190569536822,245.64089745384666
57799.6516493112,889883.3153125,935569.2321875,814.4666545723142,816.415953362547,608.9577528104139,5.54911464186033,1.0,708.236328125,28.0399169921875,911.1706463266004,245.5476320525625
57799.6523900479,888381.09125,933506.4209375,827.1699814840237,829.0433851364334,611.9980685315778,5.460771310904152,1.0,714.18359375,29.211462020874023,910.9007587761633,245.6467024677374
57799.6531192064,890012.61890625,935034.85109375,823.599375413581,825.4664564948641,605.1075786450945,5.425323096287988,1.0,680.10546875,27.77385902404785,911.2557967728477,245.40577084591754
57799.6538599581,886157.6151562501,932180.865703125,784.795204544679,786.8481573476581,606.4689104680142,5.719446349677412,1.0,730.376953125,29.11383819580078,911.5179309170956,245.66102041460948
57799.654612273,885062.565703125,931518.246640625,777.8238443919439,779.931881761764,613.2199092432454,5.946446444845692,1.0,694.28125,28.34165382385254,910.8544467178367,245.58180827142223
57799.6553530097,884581.8671875,930990.0875781251,772.566996400116,774.687889338806,611.151470293723,6.340355757118626,1.0,690.234375,29.215730667114258,911.4054999859861,245.3657380899652
57799.6561053246,889421.225625,934078.87375,819.7574114921372,821.6066935644525,603.2512386755878,5.577641360160073,1.0,696.95703125,28.537796020507812,911.0326905645435,245.72849319720603
57799.6568576396,884212.27234375,930106.462265625,785.3621680549056,787.4047798894356,596.2803669927941,5.887942914520452,1.0,682.10546875,28.527259826660156,911.3206485943816,245.40327551137574
57799.6575983763,885246.6482812499,930156.097890625,821.1182864344684,822.9838368033093,600.6464242992396,5.566268230230254,1.0,679.953125,29.637155532836914,911.0075507797408,245.5112430013752
57799.6583506912,882851.225390625,928042.567578125,798.5085488862976,800.4402107520397,601.9201734719238,5.709474624637641,1.0,692.2734375,28.760578155517578,911.2472929228825,245.42888385830273
57799.6590798646,882861.8715625,927456.954609375,804.826125371237,806.7032569706961,592.6658313401579,5.610199738741491,1.0,698.892578125,28.510276794433594,911.0712572770586,246.0788223221029
57799.6598090231,878148.945078125,923545.94140625,769.7733932962511,771.8011224820094,593.5831905777126,5.978011558832015,1.0,682.7109375,28.143024444580078,911.0366026251759,245.17720671487706
57799.6605497748,880315.85171875,925011.8285937499,791.7907883362888,793.7178621161183,591.4458469815228,5.4881253657875835,1.0,672.58984375,28.950838088989258,911.3978633252514,245.72310663798459
57799.6613020897,883820.4444531249,928905.59984375,814.7936037956769,816.6881350128444,603.4352897953022,5.63183857872003,1.0,693.74609375,28.382808685302734,911.1794071168287,245.54698459680412
57799.66201967,880014.49359375,924757.352890625,799.985297494731,801.892468670092,594.3624962934466,5.839782762321941,1.0,689.84765625,27.590620040893555,911.2869073647232,245.62667394836132
57799.6627719849,880958.538359375,924074.10234375,824.6800287761388,826.3987839152536,581.4929871818326,5.378697130107404,1.0,685.375,28.6734676361084,911.1468044971795,245.2725442915462
57799.6635127366,876554.3155468749,920135.461171875,773.354097777049,775.2323717324275,579.5892090925798,5.949943716550456,1.0,679.71875,28.359739303588867,911.2142298514461,245.79000102138465
57799.6642534733,871587.526796875,916717.1820312501,738.1315775361958,740.2397723299479,580.1721471646981,6.29701073867093,1.0,684.806640625,29.58835792541504,911.3980773677708,245.5296980150851
57799.66499421,870545.9260937499,915950.489609375,739.2030938732953,741.3196809574446,583.9910121999719,6.415946181232856,1.0,662.265625,27.41222381591797,910.9520340036416,245.5635581774208
57799.6657465249,873680.399609375,918978.1978125,764.2495378583086,766.2931519140766,591.8841540553602,5.984374637151087,1.0,686.828125,27.754302978515625,911.2532431936957,245.7761293105117
57799.6664872617,871723.4344531249,917524.67828125,729.8720195078961,732.0639264975039,577.7121957816355,6.34352943539931,1.0,673.0859375,29.26514434814453,911.658454671026,245.55374641453244
57799.6672164351,870480.01171875,914421.16109375,770.4943556987918,772.4008807019251,566.1890108920844,5.853436157601127,1.0,665.482421875,27.945932388305664,911.2097822536192,245.75930556387706
57799.66796875,871977.098671875,914806.11953125,778.4395418460243,780.2333363940438,553.5830186447878,6.0445269874659395,1.0,633.013671875,29.27111053466797,910.946678209414,245.5545706274396
57799.6686979234,868344.953515625,910442.0192187501,777.151318971042,778.8840640537542,540.9107436476299,5.824072603103155,1.0,634.40625,29.576244354248047,911.4345153353127,245.8006248841146
57799.6694386601,868576.56734375,909195.586484375,821.0521147671286,822.5790929256269,534.4707206943714,5.380053101131916,1.0,631.556640625,28.683313369750977,911.5941717412031,245.18207831613535
57799.6701909751,863705.1421874999,905283.6092187499,778.4497057518535,780.1381044790991,529.1415937684077,6.1125027754230175,1.0,632.07421875,28.552186965942383,911.3569853886968,246.50575981460864
57799.6709201336,865232.073359375,906389.219140625,791.7798854411091,793.4051393541029,527.0286324271361,5.888045294005383,1.0,618.203125,27.16751480102539,911.5448719493061,245.1191699420963
57799.671649307,867564.030625,906837.895,845.3762494506808,846.7643662845511,526.9844279831622,5.4109083896686405,1.0,618.51171875,27.118257522583008,911.2677415101043,246.05201212677264
57799.6723784655,868099.0603906249,908115.5804687501,817.0592695779668,818.5525394789673,523.4735506030032,5.564805772453357,1.0,633.548828125,28.559703826904297,911.3653469870458,245.08192935090943
57799.6731307805,867858.03953125,908231.5386718749,780.7597572748383,782.3473315726081,520.1249878096435,6.0482359286293494,1.0,612.626953125,27.354873657226562,911.3812281514013,246.38712372398095
57799.6738715321,865917.2931250001,906748.0055468751,786.9202845699036,788.5319365868902,524.4951964417515,5.931274780371484,1.0,628.0625,28.554241180419922,911.3801328275781,244.9683105390695
57799.6746122688,867247.0792187501,907866.9435156251,781.4196501553408,783.0296182697152,522.2903828327621,5.895176975986434,1.0,625.3984375,28.076541900634766,911.8785553805776,245.85379993821263
57799.6753530055,867173.485625,908436.4322656251,766.6728034018448,768.36052087549,530.3089826687794,6.295903628145961,1.0,616.515625,26.834983825683594,911.628492945347,245.3331968723076
57799.6761053205,877165.84203125,920024.133203125,790.7354762796884,792.5034259283583,553.7572022416117,6.018344436553363,1.0,673.6875,27.63791275024414,911.2518442918202,246.31950511860552
57799.6768460721,869849.507578125,911585.6861718749,770.7184054744699,772.4383516427358,535.9565580133044,6.1198995563720775,1.0,621.7265625,26.939380645751953,911.3959548339144,245.39427443212045
