,z_a_flux,z_a_fwhm,z_a_x,z_a_y,z_b_flux,z_b_fwhm,z_b_x,z_b_y,z_c_flux,z_c_fwhm,z_c_x,z_c_y
2017-02-15 15:44:47.973967,1503741.25755,0.326789358669,38.9219545058,36.4526887683,1411761.31661,0.318973230901,38.9403085268,36.5734617991,1033614.76454,1.55221301355,39.2837603563,38.0139335777
2017-02-15 15:45:52.339598,1487719.7437,0.337073053988,38.9676389213,36.3501816489,1391452.02919,0.328200555225,38.9682012173,36.5124745475,1019068.34547,0.325990755531,39.3057265573,37.9590195601
2017-02-15 15:46:56.553117,1493480.77031,0.329459743837,38.9085587208,36.4015316573,1399919.80847,0.32679086752,38.9496704487,36.560581041,1024510.06781,0.32894838378,39.2544681216,38.0007885297
2017-02-15 15:48:01.017696,1487051.94431,-547473.515417,38.9336839651,36.4269520273,1391409.54663,0.327511712209,38.9704925085,36.4982755239,1018830.53821,4.98208169112,39.2903244227,37.9862423358
2017-02-15 15:49:04.723174,1492521.17457,0.316524681888,38.8978848144,36.4889652932,1401465.14668,0.315560806954,38.9317182342,36.6274915847,1025408.09287,0.321633861173,39.2692518899,38.0394503671
2017-02-15 15:50:07.521913,1469809.89568,0.324928243864,38.9158534458,36.3262035651,1370431.24994,0.330891502871,38.9338804153,36.4810511083,1002348.51033,0.327481570283,39.2703917008,37.9488478674
2017-02-15 15:51:11.767248,1486210.22988,0.321717584847,38.9823750972,36.3988739552,1391253.53882,0.308590232147,39.0109968328,36.5624481084,1017068.07573,0.319017478828,39.296327653,37.986241209
2017-02-15 15:52:16.215816,1498409.83298,0.330143639227,38.9339743845,36.4261456019,1401918.60795,0.328636788549,38.9671068878,36.5358454368,1028763.0315,0.310529596655,39.2879549541,37.9979352149
2017-02-15 15:53:18.935435,1493614.98261,2.35893392992,38.9215107234,36.4005326211,1394589.02138,0.329625050722,38.9667834352,36.5381349429,1023461.00522,0.33002243991,39.2865184922,37.9745457364
2017-02-15 15:54:23.267860,1473095.05959,0.320995266397,38.9033219694,36.2661547555,1372297.88941,0.319466204032,38.9346569866,36.39756455,994356.189915,0.324300877744,39.2802946418,37.9128183914
2017-02-15 15:55:27.009503,1471812.16637,0.335824216794,38.93311356,36.3320532901,1372036.20731,0.333859517628,38.9447685598,36.5026806119,1002346.7421,5.72098788393,39.272830234,37.9690645141
2017-02-15 15:56:31.364910,1471230.62444,1.75581924289,38.9490672933,36.3056956153,1367224.23123,0.337203516947,38.979927763,36.476928283,997589.333674,0.335038982776,39.299477411,37.9402146198
2017-02-15 15:57:35.821464,1458246.45553,2.17568738636,38.8841384158,36.2918128952,1355183.08175,0.335589678222,38.9060947585,36.4927504424,990841.744266,0.325571680998,39.2364005175,37.9326557288
2017-02-15 15:58:40.260024,1484984.92672,2.44041993962,38.9336724687,36.4059188226,1384104.65943,0.330788444854,38.9456839537,36.5643790426,1017551.77166,0.327196222037,39.2828095922,37.9872839339
2017-02-15 15:59:44.576732,1460699.54974,2.15814790742,38.9931708869,36.2999914809,1357754.72714,0.335582870848,39.0077969513,36.4611968285,992856.742428,0.329539853287,39.3181475176,37.9210972012
2017-02-15 16:00:47.891126,1451019.53708,0.330518079847,38.9047763801,36.2319750229,1350658.62651,0.322500432776,38.9163502612,36.384388489,978521.608201,0.333827691404,39.2608452334,37.9138324225
2017-02-15 16:01:52.078702,1444679.82495,0.335813830287,38.8520779731,36.1387691541,1343396.31197,-11018.1821637,38.8747447548,36.3085871474,967698.536554,0.320486467877,39.2408397103,37.8322747424
2017-02-15 16:02:55.441252,1443878.38194,0.329701756485,38.892283229,36.1322060276,1342420.78443,0.323336476468,38.9653261635,36.3201485258,963984.9821,0.333485287545,39.2862957323,37.8539861796
2017-02-15 16:03:59.700928,1430940.97378,0.319843907982,38.9214856156,36.0072728491,1326479.65892,0.3120963452,38.9688950111,36.203530565,950220.797411,0.315650144956,39.2900458418,37.7793846305
